,G,Date,Opponent,Current_Result,Tm,Opp,W,L,Streak,Previous_Result
77,77.0,1997-04-09,Indiana Pacers,W,86.0,80.0,67.0,10.0,W 4,W
78,78.0,1997-04-10,New York Knicks,W,105.0,103.0,68.0,10.0,W 5,W
79,79.0,1997-04-13,Detroit Pistons,L,91.0,108.0,68.0,11.0,L 1,W
80,80.0,1997-04-14,Toronto Raptors,W,117.0,100.0,69.0,11.0,W 1,L
81,81.0,1997-04-16,Miami Heat,L,92.0,102.0,69.0,12.0,L 1,W
82,82.0,1997-04-19,New York Knicks,L,101.0,103.0,69.0,13.0,L 2,L
83,1.0,1997-04-25,Washington Bullets,W,98.0,86.0,1.0,0.0,W 1,L
84,2.0,1997-04-27,Washington Bullets,W,109.0,104.0,2.0,0.0,W 2,W
85,3.0,1997-04-30,Washington Bullets,W,96.0,95.0,3.0,0.0,W 3,W
86,4.0,1997-05-06,Atlanta Hawks,W,100.0,97.0,4.0,0.0,W 4,W
87,5.0,1997-05-08,Atlanta Hawks,L,95.0,103.0,4.0,1.0,L 1,W
88,6.0,1997-05-10,Atlanta Hawks,W,100.0,80.0,5.0,1.0,W 1,L
89,7.0,1997-05-11,Atlanta Hawks,W,89.0,80.0,6.0,1.0,W 2,W
90,8.0,1997-05-13,Atlanta Hawks,W,107.0,92.0,7.0,1.0,W 3,W
91,9.0,1997-05-20,Miami Heat,W,84.0,77.0,8.0,1.0,W 4,W
92,10.0,1997-05-22,Miami Heat,W,75.0,68.0,9.0,1.0,W 5,W
93,11.0,1997-05-24,Miami Heat,W,98.0,74.0,10.0,1.0,W 6,W
94,12.0,1997-05-26,Miami Heat,L,80.0,87.0,10.0,2.0,L 1,W
95,13.0,1997-05-28,Miami Heat,W,100.0,87.0,11.0,2.0,W 1,L
96,14.0,1997-06-01,Utah Jazz,W,84.0,82.0,12.0,2.0,W 2,W
97,15.0,1997-06-04,Utah Jazz,W,97.0,85.0,13.0,2.0,W 3,W
98,16.0,1997-06-06,Utah Jazz,L,93.0,104.0,13.0,3.0,L 1,W
99,17.0,1997-06-08,Utah Jazz,L,73.0,78.0,13.0,4.0,L 2,L
100,18.0,1997-06-11,Utah Jazz,W,90.0,88.0,14.0,4.0,W 1,L
101,19.0,1997-06-13,Utah Jazz,W,90.0,86.0,15.0,4.0,W 2,W
